locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
b0073,leuB,0,80867,81958,-1,542,0.00391644908616188,1092,3,3-isopropylmalate dehydrogenase
b0074,leuA,0,81958,83529,-1,4961,0.0136116152450091,1572,15,2-isopropylmalate synthase
b0075,leuL,0,83622,83708,-1,0,0,87,0,leu operon leader peptide
b0076,leuO,0,84368,85312,1,469,0.0150829562594268,945,10,DNA-binding transcriptional dual regulator LeuO
b4726,yabR,0,85467,85511,-1,162,0.0303030303030303,45,1,protein YabR
b0077,ilvI,0,85630,87354,1,1044,0.00909842845326716,1725,11,acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
b0078,ilvH,0,87357,87848,1,2403,0.0202312138728324,492,7,acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
b0080,cra,0,88028,89032,1,0,0,1005,0,DNA-binding transcriptional dual regulator Cra
b0081,mraZ,0,89634,90092,1,483,0.00309597523219814,459,1,DNA-binding transcriptional repressor MraZ
b0082,rsmH,0,90094,91035,1,2,0.00303030303030303,942,2,16S rRNA m(4)C1402 methyltransferase
b0083,ftsL,0,91032,91397,1,0,0,366,0,cell division protein FtsL
b0084,ftsI,0,91413,93179,1,15,0.00161681487469685,1767,2,peptidoglycan DD-transpeptidase FtsI
b0085,murE,0,93166,94653,1,4,0.000959692898272553,1488,1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
b0086,murF,0,94650,96008,1,0,0,1359,0,D-alanyl-D-alanine-adding enzyme
b0087,mraY,0,96002,97084,1,0,0,1083,0,phospho-N-acetylmuramoyl-pentapeptide-transferase
b0088,murD,0,97087,98403,1,25,0.00108342361863489,1317,1,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
b0089,ftsW,0,98403,99647,1,99,0.0011454753722795,1245,1,putative lipid II flippase FtsW
b0090,murG,0,99644,100711,1,0,0,1068,0,N-acetylglucosaminyl transferase
b0091,murC,0,100765,102240,1,1,0.000967117988394584,1476,1,UDP-N-acetylmuramate--L-alanine ligase
b0092,ddlB,0,102233,103153,1,0,0,921,0,D-alanine--D-alanine ligase B
b0093,ftsQ,0,103155,103985,1,0,0,831,0,cell division protein FtsQ
b0094,ftsA,0,103982,105244,1,10,0.00112994350282486,1263,1,cell division protein FtsA
b0095,ftsZ,0,105305,106456,1,302,0.0111386138613861,1152,9,cell division protein FtsZ
b0096,lpxC,0,106557,107474,1,1,0.0015527950310559,918,1,UDP-3-O-acyl-N-acetylglucosamine deacetylase
b0097,secM,0,107705,108217,1,0,0,513,0,SecA translation regulator
b0098,secA,0,108279,110984,1,932,0.00632911392405063,2706,12,protein translocation ATPase
b0099,mutT,0,111044,111433,1,850,0.0255474452554745,390,7,8-oxo-dGTP diphosphatase
b0101,yacG,0,111649,111846,-1,0,0,198,0,DNA gyrase inhibitor YacG
b0102,zapD,0,111856,112599,-1,956,0.0172413793103448,744,9,cell division factor ZapD
b0103,coaE,0,112599,113219,-1,1681,0.00919540229885057,621,4,dephospho-CoA kinase
b4727,yacM,0,113244,113288,1,0,0,45,0,protein YacM
b0104,guaC,0,113444,114487,1,59,0.00819672131147541,1044,6,GMP reductase
b0106,hofC,0,114522,115724,-1,370,0.00711743772241993,1203,6,inner membrane protein HofC
b0107,hofB,0,115714,117099,-1,391,0.00617283950617284,1386,6,T2SSE family protein
b0108,ppdD,0,117109,117549,-1,171,0.00647249190938511,441,2,prepilin peptidase-dependent protein
b0109,nadC,0,117752,118645,-1,330,0.00479233226837061,894,3,quinolinate phosphoribosyltransferase (decarboxylating)
b0110,ampD,0,118733,119284,1,245,0.0128865979381443,552,5,1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
b0111,ampE,0,119281,120135,1,1298,0.01669449081803,855,10,protein AmpE
b0112,aroP,0,120178,121551,-1,1883,0.0114345114345114,1374,11,aromatic amino acid:H(+) symporter AroP
b0113,pdhR,0,122092,122856,1,0,0,765,0,DNA-binding transcriptional dual regulator PdhR
b0114,aceE,0,123017,125680,1,165,0.00428724544480171,2664,8,pyruvate dehydrogenase E1 component
b0115,aceF,0,125695,127587,1,3773,0.0158251695553881,1893,21,pyruvate dehydrogenase, E2 subunit
b0116,lpd,0,127912,129336,1,11,0.004004004004004,1425,4,lipoamide dehydrogenase
b0117,yacH,0,129407,131260,-1,3091,0.0146379044684129,1854,19,DUF3300 domain-containing protein YacH
b0118,acnB,0,131615,134212,1,241,0.00274725274725275,2598,5,hypothetical protein
b0119,yacL,0,134388,134750,1,4,0.00392156862745098,363,1,UPF0231 family protein YacL
b0120,speD,0,134788,135582,-1,1375,0.0197486535008977,795,11,S-adenosylmethionine decarboxylase proenzyme
b0121,speE,0,135598,136464,-1,1312,0.00823723228995058,867,5,spermidine synthase
b0122,yacC,0,136570,136917,-1,508,0.0204918032786885,348,5,putative lipoprotein YacC
b0123,cueO,0,137083,138633,1,911,0.015639374425023,1551,17,cuprous oxidase/multicopper oxidase with role in copper homeostasis
b0124,gcd,0,138835,141225,-1,4067,0.00835820895522388,2391,14,quinoprotein glucose dehydrogenase
b0125,hpt,0,141431,141967,1,201,0.0026525198938992,537,1,hypoxanthine phosphoribosyltransferase
b0126,can,0,142008,142670,-1,1,0.0021505376344086,663,1,carbonic anhydrase 2
b0127,yadG,0,142779,143705,1,583,0.0138674884437596,927,9,putative ABC transporter ATP-binding protein YadG
b0128,yadH,0,143702,144472,1,2699,0.033271719038817,771,18,putative ABC transporter membrane subunit YadH
b0129,yadI,0,144577,145017,1,402,0.0129449838187702,441,4,putative PTS enzyme IIA component YadI
b0130,yadE,0,145081,146310,1,1960,0.0162412993039443,1230,14,putative polysaccharide deacetylase lipoprotein
b0131,panD,0,146314,146694,-1,136,0.0149812734082397,381,4,aspartate 1-decarboxylase proenzyme
b0132,rpnC,0,146968,147870,1,306,0.00631911532385466,903,4,recombination-promoting nuclease RpnC
b0133,panC,0,147944,148795,-1,2621,0.00836120401337793,852,5,pantothenate synthetase
b0134,panB,0,148807,149601,-1,1485,0.0269299820466786,795,15,3-methyl-2-oxobutanoate hydroxymethyltransferase
b0135,yadC,0,149715,150953,-1,2630,0.0126582278481013,1239,11,fimbrial tip-adhesin YadC
b0136,yadK,0,151003,151599,-1,698,0.0119331742243437,597,5,putative fimbrial protein YadK
b0137,yadL,0,151626,152231,-1,1128,0.0211267605633803,606,9,putative fimbrial protein YadL
b0138,yadM,0,152243,152812,-1,421,0.01,570,4,putative fimbrial protein YadM
b0139,htrE,0,152829,155426,-1,2777,0.0148351648351648,2598,27,putative fimbrial usher protein HtrE
b0140,yadV,0,155461,156201,-1,276,0.0134874759152216,741,7,putative fimbrial chaperone YadV
b0141,yadN,0,156299,156883,-1,993,0.0194647201946472,585,8,putative fimbrial protein YadN
b0142,folK,0,157253,157732,-1,0,0,480,0,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
b0143,pcnB,0,157729,159126,-1,0,0,1398,0,poly(A) polymerase I
b0144,gluQ,0,159186,160112,-1,399,0.012326656394453,927,8,glutamyl-Q tRNA(Asp) synthetase
b0145,dksA,0,160149,160604,-1,75,0.0125,456,4,RNA polymerase-binding transcription factor DksA
b0146,sfsA,0,160782,161486,-1,415,0.0121212121212121,705,6,putative DNA-binding transcriptional regulator of maltose metabolism
b0147,thpR,0,161501,162031,-1,613,0.0134048257372654,531,5,RNA 2',3'-cyclic phosphodiesterase
b0148,hrpB,0,162105,164534,1,2879,0.00940070505287897,2430,16,putative ATP-dependent RNA helicase HrpB
b0149,mrcB,0,164730,167264,1,726,0.00619718309859155,2535,11,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
b0150,fhuA,0,167484,169727,1,8849,0.017175572519084,2244,27,ferrichrome outer membrane transporter/phage receptor
b0151,fhuC,0,169778,170575,1,37,0.00535714285714286,798,3,iron(III) hydroxamate ABC transporter ATP binding subunit
b0152,fhuD,0,170575,171465,1,694,0.0096,891,6,iron(III) hydroxamate ABC transporter periplasmic binding protein
b0153,fhuB,0,171462,173444,1,1042,0.00935925125989921,1983,13,iron(III) hydroxamate ABC transporter membrane subunit
b0154,hemL,0,173602,174882,-1,133,0.00334448160535117,1281,3,glutamate-1-semialdehyde aminotransferase
b0155,clcA,0,175107,176528,1,9293,0.0160642570281124,1422,16,chloride:H(+) antiporter ClcA
b4728,yadW,0,176552,176617,1,0,0,66,0,protein YadW
b0156,erpA,0,176610,176954,1,0,0,345,0,iron-sulfur cluster insertion protein ErpA
b0157,yadS,0,177001,177624,-1,133,0.0159817351598174,624,7,conserved inner membrane protein YadS
b0158,btuF,0,177662,178462,-1,891,0.0106951871657754,801,6,vitamin B12 ABC transporter periplasmic binding protein
b0159,mtn,0,178455,179153,-1,0,0,699,0,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
b0160,dgt,0,179237,180754,1,758,0.0103383458646617,1518,11,dGTP triphosphohydrolase
b0161,degP,0,180884,182308,1,116,0.00700700700700701,1425,7,periplasmic serine endoprotease DegP
b0162,cdaR,0,182463,183620,1,1131,0.0110837438423645,1158,9,DNA-binding transcriptional activator CdaR
b0163,yaeH,0,183709,184095,-1,308,0.011070110701107,387,3,DUF3461 domain-containing protein YaeH
b0164,yaeI,0,184257,185069,-1,876,0.021015761821366,813,12,phosphodiesterase YaeI
b0166,dapD,0,185123,185947,-1,24,0.00518134715025907,825,3,tetrahydrodipicolinate succinylase
b0167,glnD,0,185978,188650,-1,288,0.00533902829684997,2673,10,PII uridylyltransferase/uridylyl removing enzyme
b0168,map,0,188712,189506,-1,65,0.00538599640933573,795,3,methionine aminopeptidase
b4414,tff,0,189712,189847,1,0,0,136,0,
b0169,rpsB,0,189874,190599,1,1,0.00196078431372549,726,1,30S ribosomal subunit protein S2
b0170,tsf,0,190857,191708,1,1008,0.0100334448160535,852,6,protein chain elongation factor EF-Ts
b0171,pyrH,0,191855,192580,1,0,0,726,0,UMP kinase
b0172,frr,0,192872,193429,1,0,0,558,0,ribosome-recycling factor
b0173,dxr,0,193521,194717,1,0,0,1197,0,1-deoxy-D-xylulose 5-phosphate reductoisomerase
b0174,ispU,0,194903,195664,1,0,0,762,0,undecaprenyl diphosphate synthase
b0175,cdsA,0,195677,196534,1,49,0.00498338870431894,858,3,CDP-diglyceride synthetase
b0176,rseP,0,196546,197898,1,69,0.00316122233930453,1353,3,intramembrane zinc metalloprotease
b0177,bamA,0,197928,200360,1,8,0.00234604105571848,2433,4,outer membrane protein assembly factor BamA
b0178,skp,0,200482,200967,1,6,0.00292397660818713,486,1,periplasmic chaperone Skp
b0179,lpxD,0,200971,201996,1,0,0,1026,0,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
b0180,fabZ,0,202101,202556,1,1,0.003125,456,1,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
b0181,lpxA,0,202560,203348,1,1,0.00180831826401447,789,1,UDP-N-acetylglucosamine acyltransferase
b0182,lpxB,0,203348,204496,1,27,0.00372670807453416,1149,3,lipid A disaccharide synthase
b0183,rnhB,0,204493,205089,1,0,0,597,0,RNase HII
b0184,dnaE,0,205126,208608,1,46,0.002460024600246,3483,6,DNA polymerase III subunit alpha
b0185,accA,0,208621,209580,1,0,0,960,0,acetyl-CoA carboxyltransferase subunit alpha
b0186,ldcC,0,209679,211820,1,2329,0.0133333333333333,2142,20,lysine decarboxylase 2
b0187,yaeR,0,211877,212266,1,4,0.00364963503649635,390,1,VOC domain-containing protein YaeR
b0188,tilS,0,212331,213629,1,7,0.00548847420417124,1299,5,tRNA(Ile)-lysidine synthetase
b0189,rof,0,213678,213932,-1,589,0.0111731843575419,255,2,modulator of Rho-dependent transcription termination
b4406,yaeP,0,213925,214125,-1,0,0,201,0,UPF0253 family protein YaeP
b0190,yaeQ,0,214291,214836,1,2347,0.015625,546,6,uncharacterized protein YaeQ
b0191,arfB,0,214833,215255,1,604,0.0134680134680135,423,4,peptidyl-tRNA hydrolase, ribosome rescue factor
b0192,nlpE,0,215269,215979,1,118,0.00601202404809619,711,3,lipoprotein NlpE
b0193,yaeF,0,216179,217003,-1,1895,0.0259067357512953,825,15,peptidase C92 family protein
b0194,proS,0,217057,218775,-1,164,0.0033195020746888,1719,4,proline--tRNA ligase
b0195,trmO,0,218887,219594,-1,151,0.00604838709677419,708,3,tRNA m(6)t(6)A37 methyltransferase
b0196,rcsF,0,219591,219995,-1,20,0.0140350877192982,405,4,outer membrane lipoprotein RcsF
b0197,metQ,0,220113,220928,-1,23,0.00174825174825175,816,1,L-methionine/D-methionine ABC transporter membrane anchored binding protein
b0198,metI,0,220968,221621,-1,1188,0.0152838427947598,654,7,L-methionine/D-methionine ABC transporter membrane subunit
b0199,metN,0,221614,222645,-1,201,0.0069060773480663,1032,5,L-methionine/D-methionine ABC transporter ATP binding subunit
b0200,gmhB,0,222833,223408,1,1,0.00247524752475248,576,1,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
b0201,rrsH,0,223771,225312,1,0,0,1542,0,
b0202,ileV,0,225381,225457,1,0,0,77,0,
b0203,alaV,0,225500,225575,1,0,0,76,0,
b0204,rrlH,0,225759,228662,1,0,0,2904,0,
b0205,rrfH,0,228756,228875,1,0,0,120,0,
b0206,aspU,0,228928,229004,1,0,0,77,0,
b0207,dkgB,0,229167,229970,1,108,0.00531914893617021,804,3,methylglyoxal reductase DkgB
b0208,yafC,0,229967,230881,-1,2321,0.0249609984399376,915,16,putative LysR family transcriptional regulator YafC
b0209,yafD,0,231122,231922,1,1663,0.0160427807486631,801,9,endonuclease/exonuclease/phosphatase domain-containing protein YafD
b0210,yafE,0,231926,232549,1,1155,0.0251141552511416,624,11,putative S-adenosylmethionine-dependent methyltransferase
b0211,mltD,0,232597,233955,-1,439,0.00524658971668416,1359,5,membrane-bound lytic murein transglycosylase D
b0212,gloB,0,234027,234782,-1,718,0.0188679245283019,756,10,hydroxyacylglutathione hydrolase GloB
b0213,yafS,0,234816,235538,1,1575,0.00788954635108481,723,4,putative S-adenosyl-L-methionine-dependent methyltransferase
b0214,rnhA,0,235535,236002,-1,0,0,468,0,ribonuclease HI
b0215,dnaQ,0,236067,236798,1,1,0.00194552529182879,732,1,DNA polymerase III subunit epsilon
b0216,aspV,0,236931,237007,1,0,0,77,0,
b0217,yafT,0,237335,238120,1,284,0.0072463768115942,786,4,lipoprotein YafT
b4586,ykfM,0,238257,238736,-1,535,0.0119047619047619,480,4,uncharacterized protein YkfM
b0218,yafU,0,238746,239084,-1,413,0.00836820083682008,339,2,pseudogene
b4503,yafF,0,239190,239378,1,0,0,189,0,pseudogene
b0219,yafV,0,239419,240189,-1,1363,0.022181146025878,771,12,2-oxoglutaramate amidase
b0220,ivy,0,240343,240816,1,308,0.0180722891566265,474,6,periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
b0221,fadE,0,240859,243303,-1,1659,0.00583771161704612,2445,10,acyl-CoA dehydrogenase
b0222,lpcA,0,243543,244121,1,65,0.0122850122850123,579,5,D-sedoheptulose 7-phosphate isomerase
b0223,yafJ,0,244327,245094,1,1281,0.0130111524163569,768,7,putative amidotransferase
b0224,yafK,0,245065,245805,-1,204,0.00578034682080925,741,3,L,D-transpeptidase domain-containing protein YafK
b0225,yafQ,0,245961,246239,-1,1,0.0050761421319797,279,1,ribosome-dependent mRNA interferase toxin YafQ
b0226,dinJ,0,246242,246502,-1,0,0,261,0,antitoxin/DNA-binding transcriptional repressor DinJ
b0227,yafL,0,246712,247461,1,276,0.00760456273764259,750,4,NlpC/P60 family protein YafL
b0228,rayT,0,247637,248134,1,3103,0.0371428571428571,498,13,REP-associated tyrosine transposase
b0229,lfhA,0,248358,250070,-1,564,0.00749375520399667,1713,9,pseudogene
b0230,lafU,0,250072,250827,1,458,0.0226415094339623,756,12,pseudogene
b0231,dinB,0,250898,251953,1,1977,0.00810810810810811,1056,6,DNA polymerase IV
b0232,yafN,0,252005,252298,1,18,0.00970873786407767,294,2,antitoxin YafN
b0233,yafO,0,252301,252699,1,194,0.0106761565836299,399,3,ribosome-dependent mRNA interferase toxin YafO
b0234,yafP,0,252709,253161,1,0,0,453,0,putative acyltransferase with acyl-CoA N-acyltransferase domain
b0235,ykfJ,0,253467,253733,1,0,0,267,0,pseudogene
b0236,prfH,0,253702,254202,1,72,0.0056980056980057,501,2,pseudogene
b0237,pepD,0,254259,255716,-1,342,0.00587084148727984,1458,6,peptidase D
b0238,gpt,0,255977,256435,1,0,0,459,0,xanthine-guanine phsophoribosyltransferase
b0239,frsA,0,256527,257771,1,0,0,1245,0,fermentation-respiration switch protein
b0240,crl,0,257829,259006,1,0,0,1178,0,pseudogene
b4710,insB9,0,257923,258426,-1,0,0,504,0,IS1 transposase B
b4709,insA9,0,258345,258620,-1,0,0,276,0,IS1 repressor TnpA
b0241,phoE,0,259045,260100,-1,0,0,1056,0,outer membrane porin PhoE
b0242,proB,0,260388,261491,1,0,0,1104,0,glutamate 5-kinase
b0243,proA,0,261503,262756,1,0,0,1254,0,glutamate-5-semialdehyde dehydrogenase
b0244,thrW,0,262871,262946,1,0,0,76,0,
b4626,ykfN,0,263150,263212,-1,0,0,63,0,pseudogene
b0245,ykfI,0,263328,263669,-1,0,0,342,0,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
b0246,yafW,0,263690,264007,-1,0,0,318,0,antitoxin of the YkfI-YafW toxin-antitoxin pair
b4504,ykfH,0,264026,264247,-1,0,0,222,0,DUF987 domain-containing protein YkfH
b0247,ykfG,0,264256,264732,-1,0,0,477,0,CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
b0248,yafX,0,264748,265206,-1,0,0,459,0,CP4-6 prophage; protein YafX
b0249,ykfF,0,265304,265543,-1,0,0,240,0,CP4-6 prophage; protein YkfF
b0250,ykfB,0,265620,266087,-1,0,0,468,0,CP4-6 prophage; protein YkfB
b0251,yafY,0,266110,266553,-1,0,0,444,0,CP4-6 prophage; inner membrane lipoprotein YafY
b4627,ykfL,0,266553,266774,-1,0,0,222,0,pseudogene
b4628,ykfK,0,266776,266967,-1,0,0,192,0,pseudogene
b0252,yafZ,0,267184,268005,-1,0,0,822,0,CP4-6 prophage; conserved protein YafZ
b0253,ykfA,0,268097,268960,-1,0,0,864,0,CP4-6 prophage; putative GTP-binding protein YkfA
b0254,perR,0,269289,270182,-1,0,0,894,0,putative transcriptional regulator PerR
b4587,insN,0,270278,272190,1,0,0,1913,0,pseudogene
b0256,insI1,0,270603,271754,1,0,0,1152,0,IS30 transposase
b4690,eyeA,0,272580,272654,1,0,0,75,0,
b0258,ykfC,0,272847,273992,1,0,0,1146,0,CP4-6 prophage; PF00078 domain-containing protein YkfC
b0259,insH1,0,274101,275117,-1,0,0,1017,0,CP4-6 prophage; IS5 transposase and trans-activator
b0260,mmuP,0,275325,276728,1,401,0.0101626016260163,1404,10,S-methyl-L-methionine transporter
b0261,mmuM,0,276715,277647,1,1188,0.0106870229007634,933,7,homocysteine S-methyltransferase
b0262,afuC,0,277756,278802,-1,817,0.00818553888130969,1047,6,CP4-6 prophage; ABC transporter ATP-binding protein AfuC
b0263,afuB,0,278814,279162,-1,556,0.0163265306122449,349,4,pseudogene
b0264,insB2,0,279178,279681,-1,0,0,504,0,IS1 protein InsB
b0265,insA2,0,279600,279875,-1,0,0,276,0,IS1 protein InsA
b4708,insI2,0,279931,280104,1,0,0,174,0,pseudogene
b4505,insX,0,280114,280362,-1,6,0.00571428571428571,249,1,pseudogene
b0266,yagB,0,280385,280735,-1,2549,0.0121457489878543,351,3,orphan antitoxin YagB
b0267,yagA,0,280829,281983,-1,319,0.0135970333745365,1155,11,CP4-6 prophage; integrase core domain-containing protein YagA
b0268,yagE,0,282278,283186,1,527,0.00941915227629513,909,6,CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase
b0269,yagF,0,283201,285168,1,5,0.00145137880986938,1968,2,CP4-6 prophage; D-xylonate dehydratase
b0270,yagG,0,285395,286777,1,116,0.00309597523219814,1383,3,putative D-xylonate transporter YagG
b0271,yagH,0,286789,288399,1,665,0.0070859167404783,1611,8,CP4-6 prophage; putative xylosidase/arabinosidase
b0272,xynR,0,288404,289162,-1,155,0.00562851782363977,759,3,CP4-6 prophage; DNA-binding transcriptional repressor XynR
